CustomerID,Name,PurchaseFrequency,AvgSpending,Location,PreferredBreadType,Segment
C0046,Customer 46,4,9994,Gulu,Whole Grain,1
C0047,Customer 47,18,19879,Mbarara,Whole Grain,0
C0048,Customer 48,8,5304,Mbale,Whole Grain,2
C0049,Customer 49,4,15808,Jinja,Brown Bread,1
C0050,Customer 50,2,8585,Kampala,Brown Bread,1
C0051,Customer 51,6,19675,Kampala,Whole Grain,1
C0052,Customer 52,10,13649,Mbarara,Whole Grain,1
C0053,Customer 53,4,3636,Jinja,Brown Bread,2
C0054,Customer 54,18,19082,Jinja,Whole Grain,0
C0055,Customer 55,12,6737,Fort Portal,White Bread,2
C0056,Customer 56,2,16555,Mbale,Brown Bread,1
C0057,Customer 57,10,15877,Fort Portal,Whole Grain,1
C0058,Customer 58,4,2854,Fort Portal,Brown Bread,2
C0059,Customer 59,14,7855,Fort Portal,White Bread,2
C0060,Customer 60,16,9392,Fort Portal,Brown Bread,0
C0061,Customer 61,15,15949,Fort Portal,Brown Bread,0
C0062,Customer 62,8,7791,Gulu,Brown Bread,2
C0063,Customer 63,14,6931,Jinja,Brown Bread,2
C0064,Customer 64,8,2202,Fort Portal,White Bread,2
C0065,Customer 65,16,13447,Jinja,Brown Bread,0
C0066,Customer 66,13,14688,Jinja,Brown Bread,0
C0067,Customer 67,18,6389,Entebbe,Whole Grain,0
C0068,Customer 68,15,4327,Gulu,Brown Bread,2
C0069,Customer 69,13,10004,Fort Portal,Whole Grain,0
C0070,Customer 70,9,9777,Kampala,White Bread,2
C0071,Customer 71,15,2197,Mbarara,White Bread,2
C0072,Customer 72,13,3930,Mbale,White Bread,2
C0073,Customer 73,1,13774,Kampala,White Bread,1
C0074,Customer 74,7,17087,Gulu,Whole Grain,1
C0075,Customer 75,9,11339,Mbarara,Brown Bread,1
C0076,Customer 76,1,13589,Gulu,White Bread,1
C0077,Customer 77,12,17708,Jinja,Brown Bread,0
C0078,Customer 78,8,19043,Mbarara,Whole Grain,1
C0079,Customer 79,11,4811,Jinja,Whole Grain,2
C0080,Customer 80,19,16243,Kampala,Whole Grain,0
C0081,Customer 81,17,8546,Kampala,White Bread,0
C0082,Customer 82,8,3986,Mbarara,Brown Bread,2
C0083,Customer 83,3,10338,Mbarara,Brown Bread,1
C0084,Customer 84,3,13411,Fort Portal,Brown Bread,1
C0085,Customer 85,1,4911,Gulu,Whole Grain,2
C0086,Customer 86,5,3734,Fort Portal,White Bread,2
C0087,Customer 87,10,10680,Gulu,Whole Grain,0
C0088,Customer 88,7,7759,Fort Portal,Whole Grain,2
C0089,Customer 89,9,4385,Jinja,Brown Bread,2
C0090,Customer 90,7,13111,Mbarara,Whole Grain,1
C0091,Customer 91,9,6736,Kampala,Brown Bread,2
C0092,Customer 92,8,3802,Gulu,White Bread,2
C0093,Customer 93,12,10155,Gulu,Brown Bread,0
C0094,Customer 94,2,10120,Kampala,White Bread,1
C0095,Customer 95,1,8616,Fort Portal,Brown Bread,1
C0096,Customer 96,16,16257,Gulu,Whole Grain,0
C0097,Customer 97,5,16486,Mbale,Whole Grain,1
C0098,Customer 98,3,18646,Jinja,White Bread,1
C0099,Customer 99,12,16075,Mbarara,White Bread,0
C0100,Customer 100,8,11208,Kampala,White Bread,1
