Customer_ID,Purchase_Frequency,Avg_Order_Value,total_spending,customer_lifetime,Bread_Type,Location,payment_method,satisfaction,Loyalty_Score,Feedback_Score,segment
C0054,1,81786,688717,30,Sourdough,Entebbe,Bank Transfer,1.3,9.3,2.0,0
C0055,2,134934,204195,6,Whole Wheat,Gulu,Mobile Money,2.4,5.1,1.4,0
C0056,5,139804,816987,29,Multigrain,Kampala Central,Mobile Money,4.0,8.6,2.0,0
C0057,2,46737,133848,8,Rye,Entebbe,Cash,3.2,5.1,1.7,2
C0058,4,76062,389910,44,Rye,Gulu,Mobile Money,4.3,4.8,1.1,2
C0059,4,94237,168099,45,Sourdough,Jinja,Mobile Money,4.8,2.4,4.6,1
C0060,4,91571,529276,43,Whole Wheat,Mukono,Cash,4.2,4.8,1.0,2
C0061,4,65510,169122,44,Whole Wheat,Entebbe,Mobile Money,3.4,5.8,3.9,1
C0062,5,59426,771447,33,Rye,Kampala Central,Mobile Money,3.0,1.2,1.6,2
C0063,3,77265,673156,17,White Bread,Jinja,Cash,1.2,5.0,4.6,1
C0064,6,57850,743407,48,Sourdough,Gulu,Mobile Money,4.9,8.0,4.6,1
C0065,1,106150,516441,11,Sourdough,Mukono,Mobile Money,2.5,7.1,3.6,0
C0066,4,127312,981718,13,Rye,Kampala Central,Cash,1.6,6.7,3.7,0
C0067,2,129613,368787,50,Rye,Gulu,Cash,3.7,9.2,1.0,0
C0068,4,114910,586275,11,White Bread,Gulu,Bank Transfer,2.1,1.2,4.9,1
C0069,2,92375,398871,31,White Bread,Entebbe,Mobile Money,3.3,6.0,4.5,1
C0070,6,75435,209079,28,Whole Wheat,Entebbe,Bank Transfer,3.3,8.1,4.6,1
C0071,6,136443,952129,44,Sourdough,Kampala Central,Bank Transfer,2.8,5.9,3.6,1
C0072,6,97132,116029,6,Sourdough,Gulu,Cash,4.3,3.9,2.4,2
C0073,2,118945,346353,41,Rye,Entebbe,Mobile Money,2.1,2.2,4.6,1
C0074,4,122050,507442,16,Whole Wheat,Mukono,Mobile Money,2.8,9.0,2.2,0
C0075,6,135402,294718,4,Sourdough,Mukono,Cash,3.2,5.2,3.3,0
C0076,5,42983,521947,35,Whole Wheat,Gulu,Bank Transfer,3.7,8.9,1.4,2
C0077,2,137241,471602,48,Whole Wheat,Entebbe,Cash,4.1,6.3,4.7,0
C0078,2,60662,996816,56,Rye,Kampala Central,Mobile Money,2.6,7.1,1.6,2
C0079,4,63510,168926,59,Whole Wheat,Kampala Central,Cash,3.6,8.2,1.9,2
C0080,2,118187,761357,26,White Bread,Kampala Central,Mobile Money,1.6,6.9,3.2,0
C0081,2,80998,417650,57,White Bread,Mukono,Bank Transfer,4.7,4.6,4.1,1
C0082,6,96846,964661,12,Multigrain,Entebbe,Mobile Money,2.5,5.6,3.5,1
C0083,4,134071,543031,11,Rye,Entebbe,Bank Transfer,3.9,8.2,1.9,0
C0084,6,46640,142092,37,Multigrain,Mukono,Bank Transfer,1.1,4.4,1.0,2
C0085,6,84547,424683,25,White Bread,Kampala Central,Mobile Money,1.8,4.5,4.0,1
C0086,4,94620,252889,18,Multigrain,Kampala Central,Mobile Money,2.9,1.9,4.9,1
C0087,1,55317,793221,19,Rye,Gulu,Bank Transfer,4.5,9.2,4.2,1
C0088,6,47564,637716,23,Rye,Jinja,Cash,3.1,1.8,2.8,2
C0089,5,67345,275006,55,Whole Wheat,Entebbe,Mobile Money,4.7,6.8,4.6,1
C0090,5,134223,870915,38,Sourdough,Entebbe,Bank Transfer,2.9,4.7,2.6,0
C0091,2,119273,869727,54,Whole Wheat,Entebbe,Bank Transfer,3.0,4.7,3.1,0
C0092,5,114859,241330,18,Rye,Jinja,Cash,1.5,7.1,2.9,0
C0093,2,120765,157775,26,White Bread,Gulu,Mobile Money,4.2,1.6,2.8,0
C0094,1,114038,836940,6,White Bread,Jinja,Bank Transfer,2.0,6.3,4.1,0
C0095,4,92393,367613,4,Whole Wheat,Kampala Central,Cash,4.6,7.9,3.1,1
C0096,4,106081,390998,44,Rye,Kampala Central,Bank Transfer,4.6,8.5,2.3,0
C0097,4,142650,761616,51,White Bread,Entebbe,Mobile Money,4.8,2.5,2.0,0
C0098,5,69430,879446,29,Rye,Mukono,Cash,3.1,9.1,1.2,2
C0099,1,115532,176256,59,White Bread,Entebbe,Bank Transfer,3.7,6.9,3.3,0
C0100,5,67788,461278,34,Rye,Mukono,Cash,4.1,8.9,1.9,2
C0101,5,135505,757011,17,Multigrain,Jinja,Mobile Money,1.5,5.4,1.6,0
C0102,1,88543,281360,43,Rye,Kampala Central,Cash,3.4,5.9,3.6,1
C0103,1,53919,446874,43,Rye,Mukono,Mobile Money,1.1,9.3,3.7,1
C0104,1,109346,518267,53,Whole Wheat,Jinja,Bank Transfer,3.0,9.1,4.0,0
C0105,1,136122,389530,16,Multigrain,Kampala Central,Mobile Money,1.6,5.0,3.0,0
C0106,4,79974,342634,2,Sourdough,Mukono,Bank Transfer,1.7,3.5,4.6,1
C0107,3,147309,133787,34,Whole Wheat,Entebbe,Bank Transfer,2.5,4.5,4.7,0
C0108,3,56371,645909,55,Sourdough,Entebbe,Mobile Money,2.7,4.5,4.2,1
C0109,1,85084,702272,8,White Bread,Entebbe,Bank Transfer,3.5,3.6,3.5,1
C0110,3,69629,553008,13,Sourdough,Jinja,Cash,1.3,3.4,2.2,2
C0111,3,91184,538469,42,Rye,Entebbe,Bank Transfer,3.0,8.7,4.9,1
C0112,1,101916,920483,8,Sourdough,Gulu,Mobile Money,1.7,1.6,2.1,0
C0113,3,113972,411955,30,Whole Wheat,Kampala Central,Cash,3.3,7.1,1.8,0
C0114,5,102187,130447,32,Whole Wheat,Jinja,Cash,3.5,2.6,2.8,2
C0115,2,52984,228046,36,Sourdough,Entebbe,Bank Transfer,3.2,4.1,1.2,2
C0116,2,73039,839290,47,Whole Wheat,Kampala Central,Bank Transfer,4.0,1.6,4.9,1
C0117,1,125431,616494,30,Whole Wheat,Mukono,Mobile Money,2.3,3.4,3.4,0
C0118,4,123691,785614,1,Sourdough,Entebbe,Cash,4.1,7.9,3.2,0
C0119,1,98606,970477,43,Multigrain,Kampala Central,Mobile Money,2.7,9.0,3.6,0
C0120,4,50616,741147,39,Multigrain,Gulu,Bank Transfer,2.9,3.0,3.0,2
C0121,2,142665,288490,17,White Bread,Mukono,Cash,3.6,5.2,1.1,0
C0122,1,145373,507688,59,Whole Wheat,Gulu,Mobile Money,1.1,5.2,3.4,0
C0123,6,90072,604409,20,Sourdough,Kampala Central,Mobile Money,3.6,8.9,3.9,1
C0124,5,64574,627759,24,Whole Wheat,Gulu,Mobile Money,3.5,7.9,2.7,2
C0125,3,43430,338404,50,Rye,Kampala Central,Mobile Money,2.2,5.6,4.0,1
C0126,4,52676,744600,22,Whole Wheat,Kampala Central,Mobile Money,1.3,7.0,1.9,2
C0127,6,50816,616595,29,Whole Wheat,Gulu,Cash,1.4,8.6,1.9,2
C0128,3,72733,851164,22,Multigrain,Kampala Central,Mobile Money,4.7,1.1,1.6,2
C0129,3,125680,763689,44,Sourdough,Entebbe,Cash,3.8,4.6,2.5,0
C0130,1,42050,265937,9,Whole Wheat,Kampala Central,Mobile Money,1.5,9.2,4.4,1
C0131,3,149996,146850,37,Multigrain,Jinja,Bank Transfer,2.4,7.7,4.3,0
C0132,5,73933,416364,10,White Bread,Kampala Central,Bank Transfer,3.4,5.9,2.5,2
C0133,6,64951,343306,36,Multigrain,Jinja,Mobile Money,4.3,5.8,3.4,1
C0134,3,72413,193808,37,Multigrain,Kampala Central,Bank Transfer,1.2,4.1,3.9,1
C0135,1,74801,601597,28,Multigrain,Kampala Central,Cash,1.9,5.7,2.0,2
C0136,5,95619,761757,28,Whole Wheat,Gulu,Mobile Money,4.6,6.9,1.7,2
C0137,2,72913,328981,42,Whole Wheat,Entebbe,Cash,1.0,4.8,4.9,1
C0138,6,80600,622220,43,White Bread,Entebbe,Mobile Money,1.8,7.4,3.5,1
C0139,3,97775,790885,21,Rye,Mukono,Bank Transfer,4.8,8.8,4.9,1
C0140,1,130816,153072,24,Rye,Gulu,Cash,3.5,2.4,2.4,0
C0141,2,130093,845466,42,Rye,Gulu,Bank Transfer,2.0,5.1,3.8,0
C0142,2,75400,708108,40,White Bread,Entebbe,Bank Transfer,1.3,4.7,1.9,2
C0143,4,44494,577746,2,Rye,Gulu,Mobile Money,1.1,7.2,2.0,2
C0144,5,120688,123284,55,Rye,Entebbe,Cash,2.0,3.2,3.0,0
C0145,3,129431,183369,8,Multigrain,Gulu,Bank Transfer,4.5,6.8,2.3,0
C0146,1,114691,911554,48,Whole Wheat,Kampala Central,Mobile Money,2.7,8.9,1.7,0
C0147,4,137419,956985,27,Whole Wheat,Entebbe,Mobile Money,3.9,4.8,2.1,0
C0148,5,148730,837266,22,Multigrain,Entebbe,Mobile Money,4.7,9.2,1.1,0
C0149,4,83001,981220,37,Multigrain,Jinja,Bank Transfer,2.6,9.9,3.8,1
C0150,6,107364,687100,27,Multigrain,Gulu,Mobile Money,1.8,2.0,3.0,2
C0151,5,85028,370143,57,Whole Wheat,Gulu,Cash,3.1,3.1,1.4,2
C0152,5,147434,384580,29,Rye,Entebbe,Cash,4.6,9.6,1.7,0
C0153,3,137659,929395,3,Multigrain,Kampala Central,Bank Transfer,4.2,9.6,1.4,0
C0154,5,77573,757456,44,White Bread,Kampala Central,Cash,1.3,1.9,3.5,2
C0155,4,40806,623156,13,Multigrain,Kampala Central,Mobile Money,3.8,1.1,1.4,2
C0156,5,96638,869097,45,Sourdough,Gulu,Bank Transfer,3.3,2.4,4.0,1
C0157,3,146506,518495,10,Multigrain,Jinja,Mobile Money,4.6,10.0,1.1,0
C0158,3,69757,352164,36,Whole Wheat,Entebbe,Bank Transfer,1.5,2.6,2.0,2
C0159,6,74636,995331,9,Multigrain,Mukono,Bank Transfer,3.1,5.5,4.6,1
C0160,4,120097,869605,54,Sourdough,Jinja,Mobile Money,4.5,8.6,3.9,1
C0161,2,88280,388345,56,White Bread,Mukono,Cash,2.6,1.2,1.3,2
C0162,2,64262,250787,55,Rye,Jinja,Cash,2.9,6.4,4.3,1
C0163,5,120435,260381,27,Multigrain,Kampala Central,Bank Transfer,1.3,3.5,3.0,0
C0164,6,102211,770438,34,Sourdough,Gulu,Mobile Money,2.1,8.8,4.4,1
C0165,1,94842,549830,51,Sourdough,Mukono,Mobile Money,2.3,3.6,3.4,0
C0166,5,96979,629393,1,White Bread,Jinja,Bank Transfer,4.8,7.2,3.7,1
C0167,6,121470,456992,32,Whole Wheat,Gulu,Cash,2.1,7.1,5.0,1
C0168,4,78197,889271,25,Multigrain,Mukono,Mobile Money,2.8,3.0,1.9,2
C0169,4,81844,168920,29,Sourdough,Entebbe,Cash,3.7,1.3,3.5,2
C0170,4,104754,930051,7,White Bread,Jinja,Cash,1.6,4.7,2.8,0
C0171,4,141868,667109,49,Rye,Entebbe,Bank Transfer,2.9,3.6,1.2,0
C0172,4,74157,750024,3,Sourdough,Kampala Central,Bank Transfer,4.0,8.3,1.1,2
C0173,6,117129,641357,20,White Bread,Entebbe,Cash,4.5,8.2,1.5,0
C0174,6,80042,605659,20,Whole Wheat,Entebbe,Mobile Money,3.5,5.1,3.6,1
C0175,3,101665,107531,53,Whole Wheat,Jinja,Mobile Money,3.7,6.5,3.3,0
C0176,2,122856,530267,30,Sourdough,Kampala Central,Bank Transfer,1.5,6.4,3.2,0
C0177,4,67376,763096,35,Sourdough,Entebbe,Cash,4.8,8.4,1.1,2
C0178,1,149049,763070,35,Multigrain,Gulu,Mobile Money,1.5,4.8,2.9,0
C0179,6,95554,167155,49,White Bread,Mukono,Mobile Money,4.1,3.5,4.7,1
C0180,1,54199,686712,39,Sourdough,Entebbe,Bank Transfer,2.1,3.4,2.6,2
C0181,1,121412,407747,27,Multigrain,Kampala Central,Cash,4.7,5.8,3.5,0
C0182,1,90948,574013,26,Multigrain,Entebbe,Mobile Money,3.9,5.0,4.1,1
C0183,3,113781,232503,14,Sourdough,Mukono,Bank Transfer,4.0,5.0,4.1,1
C0184,6,112750,829963,17,Whole Wheat,Kampala Central,Mobile Money,1.9,1.8,3.1,2
C0185,1,106262,792841,18,White Bread,Jinja,Mobile Money,2.8,7.5,4.4,1
C0186,4,86600,979005,45,White Bread,Kampala Central,Mobile Money,3.5,2.9,2.6,2
C0187,5,116898,764917,52,Whole Wheat,Jinja,Bank Transfer,4.1,2.8,4.6,1
C0188,1,102483,465446,29,Sourdough,Kampala Central,Cash,1.4,4.7,2.0,0
C0189,3,58297,755522,20,White Bread,Mukono,Bank Transfer,4.8,3.1,2.1,2
C0190,6,70448,119675,53,Sourdough,Mukono,Cash,4.6,6.3,1.2,2
C0191,3,66172,173997,27,Sourdough,Kampala Central,Mobile Money,2.1,4.3,4.2,1
C0192,1,82874,248087,18,Multigrain,Entebbe,Cash,4.3,5.0,2.7,0
C0193,6,47657,586799,4,Whole Wheat,Mukono,Mobile Money,3.1,5.8,1.9,2
C0194,5,124386,619349,1,Sourdough,Jinja,Mobile Money,2.8,2.8,1.9,2
C0195,1,65425,855678,50,Rye,Jinja,Bank Transfer,2.3,2.4,4.6,1
C0196,3,66685,240905,1,Whole Wheat,Gulu,Mobile Money,3.3,8.9,4.3,1
C0197,2,64578,370040,58,White Bread,Jinja,Bank Transfer,3.9,4.9,3.2,2
C0198,4,68831,526188,26,Multigrain,Gulu,Cash,2.6,4.7,3.5,1
C0199,3,47906,411877,45,White Bread,Kampala Central,Cash,3.5,1.3,2.9,2
C0200,6,101413,875723,20,White Bread,Kampala Central,Mobile Money,3.8,5.5,2.6,2
C0201,1,94028,666088,52,Whole Wheat,Kampala Central,Bank Transfer,3.8,6.0,4.7,1
C0202,4,47287,196044,23,White Bread,Entebbe,Mobile Money,1.2,6.0,1.5,2
C0203,1,73660,367491,10,Sourdough,Entebbe,Bank Transfer,4.4,7.4,2.7,0
C0204,6,115758,814423,59,White Bread,Gulu,Bank Transfer,2.8,2.6,2.4,2
C0205,1,100504,589066,11,Multigrain,Jinja,Bank Transfer,2.0,3.3,3.0,0
C0206,2,99720,758003,41,Multigrain,Jinja,Cash,2.0,8.3,2.8,0
C0207,4,142979,402929,41,Rye,Kampala Central,Bank Transfer,2.9,9.5,3.1,0
C0208,4,74701,905113,5,Multigrain,Mukono,Cash,4.5,2.2,1.6,2
C0209,6,123300,466008,58,White Bread,Entebbe,Bank Transfer,2.5,5.5,3.1,1
C0210,2,57674,933731,1,Multigrain,Entebbe,Cash,4.0,2.9,2.0,2
C0211,3,123560,117073,17,Whole Wheat,Kampala Central,Cash,1.4,1.5,1.7,0
C0212,1,63874,988736,22,Multigrain,Entebbe,Cash,2.9,3.9,1.3,2
C0213,5,83642,654970,34,Sourdough,Kampala Central,Mobile Money,5.0,2.3,4.1,1
C0214,1,137820,853158,56,Whole Wheat,Gulu,Bank Transfer,4.1,7.4,2.7,0
C0215,1,105160,852254,45,Rye,Jinja,Mobile Money,1.8,5.8,3.5,0
C0216,3,57602,507505,41,Sourdough,Mukono,Bank Transfer,3.0,2.3,3.9,1
C0217,1,143320,215359,29,White Bread,Jinja,Bank Transfer,1.9,1.1,3.7,0
C0218,2,128801,166707,4,White Bread,Jinja,Mobile Money,2.6,8.3,2.9,0
C0219,2,65931,351351,5,White Bread,Gulu,Cash,4.1,2.6,2.6,2
C0220,4,134377,570670,11,Sourdough,Entebbe,Bank Transfer,4.1,6.5,2.5,0
C0221,6,69192,338511,56,Sourdough,Mukono,Cash,1.9,4.0,3.6,1
C0222,5,86542,335718,51,Sourdough,Entebbe,Mobile Money,4.7,6.3,3.0,1
C0223,1,82520,689716,21,Whole Wheat,Jinja,Cash,3.4,3.8,4.4,1
C0224,1,104772,150601,35,Whole Wheat,Kampala Central,Bank Transfer,2.5,1.8,4.5,1
C0225,3,98762,495755,12,White Bread,Jinja,Bank Transfer,3.0,3.0,1.7,2
C0226,6,90106,595479,26,Multigrain,Entebbe,Bank Transfer,3.4,2.7,1.5,2
C0227,2,121121,735775,51,White Bread,Jinja,Mobile Money,3.2,4.9,3.5,0
C0228,5,65559,778029,19,Rye,Kampala Central,Bank Transfer,2.9,6.9,2.2,2
C0229,4,145595,564184,45,Whole Wheat,Gulu,Mobile Money,3.0,3.4,1.1,0
C0230,2,73742,513860,7,Sourdough,Entebbe,Cash,1.7,1.1,4.6,1
C0231,6,109669,511961,47,Whole Wheat,Jinja,Bank Transfer,4.3,5.7,1.9,2
C0232,4,120199,351924,55,Sourdough,Entebbe,Bank Transfer,3.2,6.5,4.7,1
C0233,3,61754,883441,7,Rye,Gulu,Bank Transfer,1.5,9.7,3.9,1
C0234,3,43972,914660,26,Rye,Jinja,Cash,4.1,6.3,4.1,1
C0235,1,110831,623394,40,Whole Wheat,Jinja,Bank Transfer,4.7,5.2,1.8,0
C0236,6,81873,349430,5,Sourdough,Entebbe,Mobile Money,4.8,6.2,1.9,2
C0237,5,134661,527737,21,Rye,Entebbe,Cash,2.5,9.4,3.1,0
C0238,4,146532,222788,14,White Bread,Kampala Central,Cash,1.5,8.5,1.7,0
C0239,2,49903,721527,4,White Bread,Gulu,Cash,3.1,3.9,2.2,2
C0240,6,43020,651216,23,Sourdough,Kampala Central,Cash,1.5,3.1,2.3,2
C0241,6,81755,380466,42,Whole Wheat,Jinja,Cash,4.7,3.4,1.6,2
C0242,3,125956,550930,20,Rye,Entebbe,Mobile Money,1.7,5.5,1.8,0
C0243,1,126988,450040,15,Whole Wheat,Jinja,Cash,2.0,7.7,4.2,0
C0244,1,85648,162292,50,White Bread,Jinja,Bank Transfer,2.6,5.5,1.7,0
C0245,4,143537,653343,52,Rye,Mukono,Cash,2.5,1.6,1.1,0
C0246,3,49516,405035,45,Whole Wheat,Mukono,Cash,4.2,7.5,3.5,1
C0247,6,42396,706200,29,Multigrain,Jinja,Cash,2.8,8.3,4.9,1
C0248,5,124082,761948,8,Sourdough,Entebbe,Cash,1.7,3.6,2.3,0
C0249,3,59129,452680,41,Sourdough,Jinja,Cash,2.1,7.0,1.5,2
C0250,4,41591,368448,48,Multigrain,Mukono,Mobile Money,3.0,4.8,3.3,2
C0251,4,51303,631633,19,White Bread,Entebbe,Mobile Money,1.6,9.0,4.6,1
C0252,3,70561,260372,48,Rye,Jinja,Cash,3.4,8.6,4.1,1
C0253,4,111719,191006,39,Sourdough,Gulu,Mobile Money,3.3,5.7,3.5,1
C0254,3,132108,229350,46,Multigrain,Gulu,Bank Transfer,3.9,7.2,2.3,0
C0255,2,139616,788725,28,Multigrain,Jinja,Cash,4.8,9.0,3.2,0
C0256,3,126231,905878,46,White Bread,Entebbe,Bank Transfer,4.6,5.5,1.4,0
C0257,3,47314,888768,57,White Bread,Jinja,Bank Transfer,4.8,3.8,3.7,1
C0258,4,59623,948464,27,Whole Wheat,Jinja,Cash,2.0,7.8,3.9,1
C0259,4,107675,306487,4,Sourdough,Mukono,Bank Transfer,1.5,3.0,4.9,1
C0260,1,136826,197852,58,Whole Wheat,Gulu,Bank Transfer,2.2,4.5,2.0,0
C0261,1,105082,592092,15,Multigrain,Mukono,Bank Transfer,4.6,8.8,1.1,0
C0262,2,123624,238593,35,Rye,Mukono,Cash,4.9,7.5,3.2,0
C0263,1,145228,827067,37,Rye,Jinja,Cash,4.4,4.6,3.8,0
C0264,3,73130,778841,1,White Bread,Mukono,Bank Transfer,1.4,2.9,4.2,1
C0265,4,91756,380618,3,Rye,Gulu,Cash,4.8,4.2,1.8,2
C0266,1,137624,277832,47,Rye,Mukono,Cash,2.7,3.6,2.0,0
C0267,1,66292,942150,24,Rye,Gulu,Bank Transfer,1.0,2.6,3.1,2
C0268,2,126206,406773,27,Multigrain,Mukono,Cash,2.8,7.7,2.3,0
C0269,6,109274,145232,40,Rye,Gulu,Mobile Money,1.2,3.3,4.4,1
C0270,2,42469,448688,36,Rye,Mukono,Cash,3.2,5.1,2.9,2
C0271,3,93947,560385,34,Rye,Mukono,Mobile Money,2.4,4.5,4.2,1
C0272,4,62534,883301,29,Whole Wheat,Entebbe,Bank Transfer,2.9,9.8,3.3,1
C0273,2,103620,412813,24,Multigrain,Gulu,Cash,3.5,4.5,4.1,1
C0274,1,88874,309093,24,White Bread,Gulu,Bank Transfer,4.5,1.7,2.3,2
C0275,4,89708,431328,42,Whole Wheat,Gulu,Bank Transfer,3.6,1.8,4.3,1
C0276,4,114553,803305,4,Sourdough,Kampala Central,Bank Transfer,2.7,6.3,2.1,0
C0277,1,108344,113140,3,Multigrain,Mukono,Bank Transfer,4.3,6.4,3.2,0
C0278,2,89138,488612,34,Multigrain,Gulu,Bank Transfer,4.6,4.8,1.9,2
C0279,1,94302,707745,57,Sourdough,Kampala Central,Cash,1.5,4.9,2.9,0
C0280,6,87638,638645,49,Sourdough,Entebbe,Mobile Money,3.1,1.5,2.3,2
C0281,4,118249,623375,23,Sourdough,Gulu,Cash,2.1,5.6,2.1,0
C0282,5,145865,211672,53,White Bread,Gulu,Cash,1.2,5.5,4.9,1
C0283,5,42719,430817,56,Rye,Kampala Central,Cash,3.7,2.3,1.6,2
C0284,3,62890,745961,52,Multigrain,Mukono,Cash,4.5,1.9,4.1,1
C0285,1,117236,689921,23,Rye,Entebbe,Mobile Money,1.7,2.1,4.9,1
C0286,1,76509,832303,45,Rye,Gulu,Cash,4.2,1.9,1.1,2
C0287,3,82534,720399,5,Sourdough,Mukono,Bank Transfer,4.4,6.5,3.8,1
C0288,3,142302,964690,31,White Bread,Entebbe,Cash,4.7,2.8,2.0,0
C0289,3,132241,506140,53,Whole Wheat,Jinja,Cash,2.1,3.3,1.2,0
C0290,4,58787,169286,41,White Bread,Jinja,Mobile Money,4.6,2.6,2.6,2
C0291,6,88845,193269,57,Rye,Entebbe,Mobile Money,2.3,9.6,4.7,1
C0292,1,97932,358635,57,White Bread,Kampala Central,Bank Transfer,3.2,8.7,1.0,0
C0293,4,132124,174071,54,Sourdough,Entebbe,Cash,1.2,3.1,3.4,0
C0294,3,131659,550542,6,Whole Wheat,Entebbe,Cash,1.2,3.9,3.0,0
C0295,1,73062,321095,37,Sourdough,Kampala Central,Cash,3.9,2.9,4.5,1
C0296,4,115713,613317,57,Whole Wheat,Kampala Central,Bank Transfer,2.8,5.4,1.3,0
C0297,6,127263,130651,10,Rye,Mukono,Mobile Money,2.0,1.2,3.7,1
C0298,4,135756,170202,40,Whole Wheat,Mukono,Bank Transfer,1.8,7.0,3.7,0
C0299,6,100461,148777,7,Whole Wheat,Kampala Central,Cash,3.7,5.7,3.7,1
C0300,3,115418,248066,39,Whole Wheat,Jinja,Mobile Money,1.0,9.1,4.8,1
C0301,6,106672,953695,38,White Bread,Jinja,Mobile Money,4.2,2.5,4.3,1
C0302,1,74832,290706,21,White Bread,Entebbe,Bank Transfer,1.3,8.2,1.2,2
